desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	11063	1	1	1	1	1	1	1	1	1	1	0	2	2	2
none	11064	1	1	1	1	1	2	1	1	1	1	1	1	1	1
none	11066	1	1	0	0	0	0	0	0	0	1	0	1	1	1
none	11069	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11070	1	0	1	1	1	1	1	1	1	1	1	0	1	1
none	11071	1	1	1	1	1	1	1	1	2	1	2	1	2	2
none	11072	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11074	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11077	0	1	0	0	0	0	0	0	0	1	0	0	1	1
none	11079	2	1	1	1	1	1	1	1	1	0	1	2	1	2
none	11080	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11084	1	1	1	1	1	1	1	1	1	0	1	1	0	1
none	11096	0	1	1	0	0	0	0	0	0	1	1	0	1	1
none	11100	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	11104	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1111	1	1	1	1	1	1	1	1	1	2	2	2	2	3
none	11111	1	1	1	1	1	2	1	1	1	1	1	1	1	1
none	11112	1	0	1	1	1	1	1	1	1	1	0	1	2	1
